customer_external_id,ticket_id,created_at,status,priority,resolution_days,csat_score
CUST-00654,ZD-100000,2025-11-05T16:09:18.269514,open,normal,0.0,3.0
CUST-00142,ZD-100001,2025-11-15T16:09:18.269547,solved,urgent,10.0,1.0
CUST-00030,ZD-100002,2025-11-24T16:09:18.269563,closed,low,3.0,
CUST-00203,ZD-100003,2024-08-18T16:09:18.269572,closed,urgent,6.0,
CUST-00284,ZD-100004,2026-02-21T16:09:18.269583,closed,urgent,12.0,4.0
CUST-00284,ZD-100005,2025-09-21T16:09:18.269591,open,low,3.0,1.0
CUST-00389,ZD-100006,2025-11-20T16:09:18.269598,open,high,5.0,1.0
CUST-00747,ZD-100007,2024-11-14T16:09:18.269607,solved,urgent,8.0,1.0
CUST-00565,ZD-100008,2025-05-03T16:09:18.269616,open,normal,13.0,1.0
CUST-00046,ZD-100009,2025-07-09T16:09:18.269624,open,low,12.0,3.0
CUST-00887,ZD-100010,2025-11-16T16:09:18.269631,open,urgent,6.0,4.0
CUST-00166,ZD-100011,2025-02-13T16:09:18.269637,closed,high,5.0,1.0
CUST-00623,ZD-100012,2025-09-05T16:09:18.269643,closed,normal,8.0,5.0
CUST-00388,ZD-100013,2025-05-27T16:09:18.269649,closed,high,14.0,1.0
CUST-00234,ZD-100014,2026-01-26T16:09:18.269655,open,urgent,12.0,4.0
CUST-00067,ZD-100015,2025-07-26T16:09:18.269661,open,normal,14.0,5.0
CUST-00405,ZD-100016,2024-11-15T16:09:18.269667,open,normal,2.0,3.0
CUST-00762,ZD-100017,2024-08-02T16:09:18.269673,open,urgent,8.0,
CUST-00408,ZD-100018,2025-02-22T16:09:18.269679,closed,urgent,3.0,1.0
CUST-00773,ZD-100019,2026-01-10T16:09:18.269684,solved,normal,13.0,3.0
CUST-00811,ZD-100020,2024-12-22T16:09:18.269691,solved,urgent,9.0,5.0
CUST-00610,ZD-100021,2024-11-05T16:09:18.269697,open,low,8.0,1.0
CUST-00698,ZD-100022,2024-08-27T16:09:18.269703,open,high,12.0,1.0
CUST-00300,ZD-100023,2024-12-09T16:09:18.269709,pending,low,2.0,4.0
CUST-00995,ZD-100024,2024-10-03T16:09:18.269714,closed,low,12.0,4.0
CUST-00861,ZD-100025,2024-09-26T16:09:18.269720,closed,normal,9.0,4.0
CUST-00780,ZD-100026,2025-09-15T16:09:18.269726,solved,high,8.0,5.0
CUST-00019,ZD-100027,2025-11-05T16:09:18.269731,open,high,14.0,3.0
CUST-00059,ZD-100028,2025-06-26T16:09:18.269737,solved,low,14.0,5.0
CUST-00835,ZD-100029,2025-12-19T16:09:18.269743,closed,normal,12.0,5.0
CUST-00969,ZD-100030,2024-08-14T16:09:18.269749,open,urgent,2.0,3.0
CUST-00951,ZD-100031,2024-08-24T16:09:18.269754,closed,high,12.0,5.0
CUST-00687,ZD-100032,2025-02-10T16:09:18.269760,pending,low,7.0,3.0
CUST-00230,ZD-100033,2025-12-24T16:09:18.269766,solved,normal,5.0,
CUST-00225,ZD-100034,2026-02-20T16:09:18.269781,solved,normal,1.0,1.0
